Kutani va hlengeleta maribye ma endla nhulu	And they took stones and made a heap
Hiloko va dyela swakudya kwala tlhelo ka maribye lawa	and they ate there by the heap
Kutani Labani a thya nhulu leyi vito ra Yegara-Sahaduta	Laban called it Jegar-sahadutha
kasi Yakobo yena a yi thya vito ra Galede	but Jacob called it Galeed
Nhulu leyi	This heap is a witness
ni ribye leri	and the pillar is a witness
swi ta hi tsundzuxa leswaku hi nga swi tluli	that I will not pass over this heap to you
Mina ndzi nge tluli nhulu leyi ndzi ta eka wena ndzi ta ku vavisa	and you will not pass over this heap and this pillar to me
kasi na wena u nge tluli nhulu leyi ni ribye leri u ta eka mina u ta ndzi vavisa	to do harm
Yakobo a ya emahlweni ni riendzo ra yena	Jacob went on his way
kutani tintsumi ta Xikwembu ti n'wi hlanganisa	and the angels of God met him
Kutani Yakobo a rhuma vanhu eka Esawu makwavo wa yena le Seyira	And Jacob sent messengers before him to Esau his brother in the land of Seir
etikweni ra Edomu	the country of Edom
a va lerisa ku ya byela Esawu marito lawa	instructing them
We n'wini wanga	Thus you shall say to my lord Esau
mina nandza wa wena a ndzi luverile eka Labani	Thus says your servant Jacob
ndzi tshame kona ku fika sweswi	'I have sojourned with Laban and stayed until now
hikuva a a ku	thinking
Loko Esawu o fika a herisa ntlawa wun'we	If Esau comes to the one camp and attacks it
lowun'wana wu ta pona	then the camp that is left will escape
wena u fanele ku hlamula u ku	then you shall say
I swa Yakobo nandza wa wena	They belong to your servant Jacob
i nyiko leyi tisiwaka eka wena n'wini wanga Esawu	They are a present sent to my lord Esau
Loko a ri yena Yakobo	And moreover
wa karhi wa ta	he is behind us
kambe yena a sala a ri yexe	And Jacob was left alone
Kutani ku humelela munhu un'wana a fika a pfinyana na yena ku kondza ri xa	And a man wrestled with him until the breaking of the day
Kutani munhu loyi a ku	Then he said
Ndzi tshike ndzi famba	Let me go
hikuva ri lava ku xa	for the day has broken
Kambe Yakobo a ku	But Jacob said
Ndzi nge ku tshiki loko u nga si ndzi katekisa	I will not let you go unless you bless me
Munhu loyi a ku ka yena	And he said to him
Hi wena mani xana	What is your name
Yena a ku	And he said
Hi mina Yakobo	Jacob
Kutani a ku	Then he said
Vito ra wena a ri nga ha vi Yakobo	Your name shall no longer be called Jacob
kambe u ta va Israele	but Israel
hikuva u pfinyanile ni Xikwembu ni vanhu	for you have striven with God and with men
kambe u hlurile	and have prevailed
Kutani Yakobo a ku ka yena	Then Jacob asked him
Ndzi kombela leswaku u ndzi byela vito ra wena	Please tell me your name
Kambe yena a ku	But he said
Xana u vutisela yini vito ra mina xana	Why is it that you ask my name
Kutani a katekisa Yakobo	And there he blessed him
Kuteloko Yakobo a tlakusa mahlo	And Jacob lifted up his eyes and looked
o vona Esawu a ri karhi a ta ni vavanuna va 400	and behold
Kutani Yakobo a hambanyisa vana va Leya	Esau was coming
ni vana va Rahele	and four hundred men with him
ni vana va malandza ya yena lamambirhi	So he divided the children among Leah and Rachel and the two female servants
Kutani emahlweni a veka malandza ni vana va wona	And he put the servants with their children in front
ku landza Leya ni vana va yena	then Leah with her children
kutani Rahele na Yosefa va va vo hetelela eka hinkwavo	and Rachel and Joseph last of all
Leya ni vana va yena	Leah likewise and her children drew near and bowed down
na vona va tshinela va fika va nkhinsama	And last Joseph and Rachel drew near
eku heteleleni Yosefa na Rahele na vona va tshinela va fika va nkhinsama	and they bowed down
Kutani Esawu a ku	Esau said
Xana ntlawa wa wena lowu ndzi hlanganeke na wona i wa ku endla yini xana	What do you mean by all this company that I met
Yakobo a ku	Jacob answered
I wa ku endla leswaku wena n'wini wanga u ndzi amukela	To find favor in the sight of my lord
Ndzi kombela leswaku u amukela tinyiko ta mina leti tisiweke eka wena	Please accept my blessing that is brought to you
hikuva Xikwembu xi vile ni tintswalo eka mina	because God has dealt graciously with me
naswona ndzi ni swilo swo ringana	and because I have enough
Hi ndlela leyi	Thus he urged him
Yakobo a khongotela Esawu ku kondza a teka tinyiko	and he took it
Kutani Esawu a ku	Then Esau said
A hi fambe	Let us journey on our way
mina ndzi ta ku rhangela emahlweni	and I will go ahead of you
Kutani hi siku rero Esawu a tlhelela eSeyira	So Esau returned that day on his way to Seir
Loko Yakobo a ta a huma hi le Padani-Aramu	And Jacob came safely to the city of Shechem
ú fikile hi ku rhula emutini wa Xikeme	which is in the land of Canaan
etikweni ra Kanana	on his way from Paddan-aram
kutani a gova kusuhi ni muti lowu	and he camped before the city
Kutani Xikeme a ya vulavula na Hamoro tata wa yena a ku	So Shechem spoke to his father Hamor
Ndzi kombela leswaku u ya ndzi tekela nhwanyana loyi	saying
a ta va nsati wa mina	Get me this girl for my wife
Kutani Hamoro tata wa Xikeme a ya eka Yakobo ku ya vulavula na yena	And Hamor the father of Shechem went out to Jacob to speak with him
A hi twananeni leswaku vana va hina va tekana	Make marriages with us
Pfumelelani vana va n'wina va xisati ku tekiwa erixakeni ra ka hina	Give your daughters to us
kasi na hina hi ta pfumelela lava ka hina ku tekiwa eka n'wina	and take our daughters for yourselves
Marito ya vana va Yakobo ma tsakisa Hamoro na n'wana wa yena Xikeme	Their words pleased Hamor and Hamor's son Shechem
Kutani Yakobo a ku ka Simiyoni na Levhi	Then Jacob said to Simeon and Levi
Mi ndzi vangele khombo hi ku ndzi venganisa ni Vakanana ni Vaperesi	You have brought trouble on me by making me stink to the inhabitants of the land
vona vaaki va tiko	the Canaanites and the Perizzites
Mina a ndzi na vavanuna vo tala	My numbers are few
kutani loko vo twanana va hlangana va ta ndzi hlasela	and if they gather themselves against me and attack me
va ta ndzi herisa	I shall be destroyed
mina ni va ndyangu wa mina	both I and my household
Kambe vona va hlamula va ku	But they said
Hi nge pfumeli leswaku Xikeme a hundzula makwerhu a n'wi endla nghwavava	Should he treat our sister like a prostitute
Hiloko Yakobo a byela va ndyangu wa yena ni hinkwavo lava a a ri na vona a ku	So Jacob said to his household and to all who were with him
Cukumetani swikwembu swa vamatiko leswi nga xikarhi ka n'wina	Put away the foreign gods that are among you and purify yourselves and change your garments
Kutani va nyika Yakobo swikwembu hinkwaswo swa vamatiko leswi a va ri na swona	So they gave to Jacob all the foreign gods that they had
va n'wi nyika ni swingwavila leswi a swi ri entindleveni ta vona	and the rings that were in their ears
Hiloko Yakobo a ya swi celela ehansi ka murhi wa nkuhlu lowu a wu ri kwale kusuhi ni muti wa Xikeme	Jacob hid them under the terebinth tree that was near Shechem
Kutani va khoma ndlela va famba	And as they journeyed
kutani Xikwembu xi endla leswaku vanhu va miti leyi a yi va rhendzerile matlhelo hinkwawo va khomiwa hi ku chava	a terror from God fell upon the cities that were around them
va tsandzeka ku hlongorisa vana va Yakobo	so that they did not pursue the sons of Jacob
Loko Yakobo a ta a huma hi le Padani-Aramu	God appeared to Jacob again
Xikwembu xi tlhela xi humelela eka yena	when he came from Paddan-aram
xi n'wi katekisa	and blessed him
Kutani Xikwembu xi tlhandluka xi suka laha a xi vulavula na Yakobo kona	Then God went up from him in the place where he had spoken with him
Hiloko Yakobo a yimisa ribye ra xitsundzuxo endhawini yoleyo	And Jacob set up a pillar in the place where he had spoken with him
a tlhela a chela vhinyo ya magandzelo ehenhla ka ribye leri	a pillar of stone
a chela ni mafurha ehenhla ka rona	He poured out a drink offering on it and poured oil on it
Kutani va suka eBetele va ya emahlweni ni riendzo	Then they journeyed from Bethel
Loko va ha ri kulenyana ni muti wa Efrata	When they were still some distance from Ephrath
nkarhi wa Rahele wa ku tintshunxa wu fika	Rachel went into labor
kutani switlhavi swa ku veleka swi n'wi tela hi matimba	and she had hard labor
Loko a ri karhi a tintshunxa	And when her labor was at its hardest
sungukati yi ku ka yena	the midwife said to her
Tiyisela	Do not fear
u kumile n'wana un'wana wa mufana	for you have another son
Kutani Rahele a fa	So Rachel died
a lahliwa endleleni yo ya le Efrata (hileswaku	and she was buried on the way to Ephrath (that is
Betlehema)	Bethlehem)
Vana va Leya hi lava	The sons of Leah
Rhuveni (yena mativula ya Yakobo)	Reuben (Jacob's firstborn)
na Simiyoni	Simeon
na Levhi	Levi
na Yuda	Judah
na Isakara	Issachar
na Zebuloni	and Zebulun
Vana va Rahele hi lava	The sons of Rachel
Yosefa na Benjamini	Joseph and Benjamin
Enkarhini lowu	Now the days of Isaac were 180 years
Leti i timhaka ta va ka Esawu (hileswaku	These are the generations of Esau (that is
Edomu)	Edom)
Ada ú velekele Esawu n'wana loyi a va ku i Elifasi	And Adah bore to Esau
kasi Basemati yena a veleka Rhuwele	Eliphaz
Hikokwalaho Esawu a ya a ya tshama emagangeni ya Seyira	So Esau settled in the hill country of Seir
Esawu loyi hi yena Edomu	(Esau is Edom
Vana va Oholibama nkata Esawu hi lava	These are the sons of Oholibamah the daughter of Anah the daughter of Zibeon
Yewuxi	Esau's wife
na Yalamu	she bore to Esau Jeush
na Kora	Jalam
Oholibama i n'wana Ana n'wana Sibeyoni	and Korah
na Kora	Korah
na Gatamu	Gatam
na Amaleke	and Amalek
Lava hi vona lava a va ri tindhuna ta va ka Elifasi etikweni ra Edomu	these are the chiefs of Eliphaz in the land of Edom
va nga vona vatukulu va Ada	these are the sons of Adah
Vana va Rhuwele	These are the sons of Reuel
n'wana Esawu	Esau's son
lava a va ri tindhuna hi lava	the chiefs Nahath
Nahata	Zerah
na Zera	Shammah
na Xama	and Mizzah
na Miza	these are the chiefs of Reuel in the land of Edom
Lava hi vona lava a va ri tindhuna ta va ka Rhuwele etikweni ra Edomu	these are the sons of Basemath
va nga vona vatukulu va Basemati nkata Esawu	Esau's wife
Vana va Seyira lowa Muhori	These are the sons of Seir the Horite
vona vaaki va tiko ra Edomu hi lava	the inhabitants of the land
Lotani	Lotan
na Xobala	Shobal
na Sibeyoni	Zibeon
na Ana	Anah
na Dixoni	Dishon
na Esere	Ezer
na Dixani	and Dishan
Lava hi vona vana va Seyira	these are the chiefs of the Horites
ti nga tona tindhuna ta Vahori etikweni ra Edomu	the sons of Seir in the land of Edom
Vana va Xobala hi lava	These are the sons of Shobal
Alivhani	Alvan
na Manahate	Manahath
na Ebali	Ebal
na Xefo	Shepho
na Onamu	and Onam
Vana va Dixoni hi lava	These are the sons of Dishon
Hemi-Dani	Hemdan
na Exibani	Eshban
na Yitirana	Ithran
na Kerani	and Cheran
Vana va Esere hi lava	These are the sons of Ezer
Bilihani	Bilhan
na Savhana	Zaavan
na Akani	and Akan
Tindhuna ta Vahori hi leti	These are the chiefs of the Horites
Lotani	the chiefs Lotan
na Xobala	Shobal
na Sibeyoni	Zibeon
na Ana	Anah
na Dixoni	Dishon
na Esere	Ezer
na Dixani	and Dishan
Leti hi tona tindhuna ta Vahori etikweni ra Seyira	these are the chiefs of the Horites
hi ku ya hi mindyangu ya vona	chief by chief in the land of Seir
Loko Huxama a fa	Husham died
Hadadi n'wana Bedadi	and Hadad the son of Bedad
yena loyi a hluleke Vamidiyani etikweni ra Mowabu	who defeated Midian in the country of Moab
a sala a fuma	reigned in his place
a ri karhi a tshama emutini wa Avhiti	the name of his city being Avith
Loko Hadadi a fa	Hadad died
Samila wa le Masireka a sala a fuma	and Samlah of Masrekah reigned in his place
na Oholibama	Oholibamah
na Ela	Elah
na Pinoni	Pinon
na Kenazi	Kenaz
na Temani	Teman
na Mibisara	Mibzar
Yosefa a ku ka vona	He said to them
Twanani norho lowu ndzi wu lorheke	Hear this dream that I have dreamed
Hiloko vamakwavo va n'wi vondzoka	And his brothers were jealous of him
kambe tata wa yena a nga yi rivalanga mhaka leyi	but his father kept the saying in mind
Siku rin'wana vamakwavo wa Yosefa va ya va ya risa swifuwo swa tata wa vona kusuhi ni muti wa Xikeme	Now his brothers went to pasture their father's flock near Shechem
Kutani wanuna un'wana a kuma Yosefa a ri karhi a rhendzeleka enhoveni	And a man found him wandering in the fields
a n'wi vutisa a ku	And the man asked him
U lava yini xana	What are you seeking
Kutani va n'wi vona a ha ta hi le kule	They saw him from afar
Loko a nga si fika laha a va ri kona	and before he came near to them they conspired against him to kill him
Loko Yosefa a fika eka vamakwavo	So when Joseph came to his brothers
va n'wi hluvula xiambalo lexo leha	they stripped him of his robe
xa mavoko yo leha	the robe of many colors that he wore
kutani va n'wi khoma va n'wi hoxa ekheleni	And they took him and threw him into a pit
Khele leri a ri nga ri na mati	The pit was empty
a ma phyile	there was no water in it
Vamidiyani lava fambaka va xava ni ku xavisa swilo	Then Midianite traders passed by
va hundza hi laha vamakwavo wa Yosefa a va ri kona	And they drew Joseph up and lifted him out of the pit
hiloko va humesa Yosefa ekheleni va n'wi xavisela Vaiximaele hi mali ya tisilivhere ta 20	and sold him to the Ishmaelites for twenty shekels of silver
Kutani Vaiximaele va ya na Yosefa le Egipta	They took Joseph to Egypt
Hiloko va dlaya mbuti	Then they took Joseph's robe and slaughtered a goat and dipped the robe in the blood
Kutani Yakobo a xi languta	And he identified it and said
a ku	It is my son's robe
Lexi i xiambalo xa n'wananga	A fierce animal has devoured him
Swiharhi swa nhova swi n'wi dyile	Joseph is without doubt torn to pieces
Vana va yena hinkwavo va xinuna ni va xisati va ya va ya n'wi khongotela	All his sons and all his daughters rose up to comfort him
kambe yena a ala ku khongoteriwa	but he refused to be comforted and said
a ku	No
E-e	I shall go down to Sheol to my son
ndzi ta kala ndzi fa ndzi landza n'wananga exivandleni xa vafi ndza ha rila	mourning
Kutani Yakobo a rila n'wana wa yena hi ndlela yoleyo	Thus his father wept for him
Enkarhini wolowo Yuda a suka laha a ku ri ni vamakwavo	It happened at that time that Judah went down from his brothers and turned aside to a certain Adullamite
a rhelela a ya tshama na Muadulama un'wana loyi a va ku i Hira	whose name was Hirah
Kutani Yuda a tekela mativula ya yena Ere ensati	And Judah took a wife for Er his firstborn
vito ra yena a a ri Tamara	and her name was Tamar
Kambe Ere	But Er
mativula ya Yuda	Judah's firstborn
a a ri ni mahanyelo layo biha emahlweni ka HOSI Xikwembu	was wicked in the sight of the LORD
hikokwalaho HOSI Xikwembu xi n'wi susa emisaveni	and the LORD put him to death
Endzhaku ka malembenyana	In the course of time the wife of Judah
N'wa-Xuwa nkata Yuda a lova	Shua's daughter
Loko Yuda a hetile ku rila nsati wa yena	died
a suka a famba ni nakulobye Hira lowa Muadulama	When Judah was comforted
va ya laha vatsemeti va voya bya tinyimpfu ta yena a va ri kona	he went up to Timnah to his sheepshearers
le Timina	he and his friend Hirah the Adullamite
Loko Yuda a n'wi vona	When Judah saw her
a ehleketa leswaku i nghwavava	he thought she was a prostitute
hikuva a a tifunengetile xikandza	for she had covered her face
Loko nkarhi wa Tamara wa ku tintshunxa wu ri kusuhi	When the time of her labor came
ku kumeka leswaku ú ta veleka mahahlwa	there were twins in her womb
Loko a ri karhi a tintshunxa	And when she was in labor
un'wana n'wana a humesa voko	one put out a hand
kutani sungukati yi teka ngoti yo tshwuka yi boha evokweni ra n'wana loyi	and the midwife took and tied a scarlet thread on his hand
yi ku	saying
Loyi hi yena a rhangeke a huma	This one came out first
Kambe loko n'wana loyi a tlherisa voko	But as he drew back his hand
makwavo a huma	behold
kutani sungukati yi ku	his brother came out
Wa swi kota ku phohla ke! Hikokwalaho a thyiwa vito ra Perese (hileswaku	And she said
Ku phohla)	What a breach you have made for yourself! Therefore his name was called Perez
Enkarhini lowu	Now Joseph had been brought down to Egypt
Vaiximaele a va yisile Yosefa etikweni ra Egipta	and Potiphar
Muegipta loyi a va ku i Potifaro	an officer of Pharaoh
un'wana wa vatirheli va hosi Faro	the captain of the guard
tlhelo ndhuna ya varindzi	an Egyptian
a a xavile Yosefa eka Vaiximaele lava	had bought him from the Ishmaelites who had brought him down there
HOSI Xikwembu a xi ri na Yosefa	The LORD was with Joseph
kutani a a kateka eka hinkwaswo leswi a swi endlaka	and he became a successful man
Yosefa a a tshama emutini wa n'wini wa yena lowa Muegipta	and he was in the house of his Egyptian master
Ku sukela nkarhi lowu Yosefa a vekiweke ku va mulanguteri wa muti wa Muegipta ni muhlayisi wa swilo swa yena hinkwaswo	From the time that he made him overseer in his house and over all that he had
HOSI Xikwembu xi katekisile muti wa Muegipta hikwalaho ka yena	the LORD blessed the Egyptian's house for Joseph's sake
xi katekisa swilo hinkwaswo swa Muegipta	the blessing of the LORD was on all that he had
swa le mutini ni swa le masin'wini	in house and field
Nkata Potifaro a a hamba a vulavula na Yosefa hi ndlela leyi siku rin'wana ni rin'wana	And as she spoke to Joseph day after day
kambe Yosefa a nga pfumelanga ku etlela na yena	he would not listen to her
hambi ku ri ku tshama na yena	to lie beside her or to be with her
Kuteloko nkata Potifaro a vona leswaku Yosefa ú sukile a tsutsuma a n'wi siya ni xiambalo	And as soon as she saw that he had left his garment in her hand and had fled out of the house
o vitana malandza ya laha mutini wa yena	she called to the men of her household and said to them
a ku ka wona	See
Vonani	he has brought among us a Hebrew to laugh at us
Potifaro u hi tisele Muheveru a ta hi rhuketela	He came in to me to lie with me
Muheveru loyi ú tile eka mina a lava ku etlela na mina	and I cried out with a loud voice
kuteloko a twa leswaku ndzi le ku kalakaleni o suka a tsutsuma	And as soon as he heard that I lifted up my voice and cried out
a ndzi siya ni xiambalo xa yena	he left his garment beside me and fled and got out of the house
kambe loko a twa leswaku ndzi ba nkalanga	But as soon as I lifted up my voice and cried
o suka a tsutsuma a ndzi siya ni xiambalo xa yena	he left his garment beside me and fled out of the house
Kutani a teka Yosefa a n'wi nghenisa ekhotsweni	And Joseph's master took him and put him into the prison
laha ku pfaleriwaka vabohiwa va hosi Faro	the place where the king's prisoners were confined
a tshama kona	and he was there in prison
Kutani ndhuna ya varindzi yi lerisa Yosefa ku va tirhela	The captain of the guard appointed Joseph to be with them
a va nandza wa vona	and he attended them
Kutani va tshamile masikunyana va ri karhi va rindziwa	They continued for some time in custody
Kuteloko Yosefa a ta eka vona nimpundzu	When Joseph came to them in the morning
a swi vona leswaku a va tsakanga emoyeni	he saw that they were troubled
Vona va ku ka yena	They said to him
Hi lorhile milorho	We have had dreams
kutani a ku na munhu loyi a nga yi hlamuselaka	and there is no one to interpret them
Kutani Yosefa a ku ka vona	And Joseph said to them
Xana a hi Xikwembu lexi hlamuselaka milorho xana	Do not interpretations belong to God
Ndzi kombela leswaku mi ndzi byela milorho ya kona	Please tell them to me
Hiloko Yosefa a ku ka yena	Then Joseph said to him
Nhlamuselo ya norho wa wena hi leyi	This is its interpretation
Marhavi lawa manharhu ma vula masiku manharhu	the three branches are three days
Kambe ndzi kombela leswaku u nga ndzi rivali loko se swi ku fambela kahle	Only remember me
U fanele ku ndzi pfuna	when it is well with you
u ndzi vulavulela na hosi Faro	and please do me the kindness to mention me to Pharaoh
leswaku na mina ndzi ta huma laha khotsweni	and so get me out of this house
Hiloko Yosefa a ku	And Joseph answered and said
Nhlamuselo ya kona hi leyi	This is its interpretation
Swirhundzu leswinharhu swi vula masiku manharhu	the three baskets are three days
Kutani hosi Faro a tlherisela ndhuna ya vacheri entirhweni wa yona wo chela vhinyo	He restored the chief cupbearer to his position
leswaku yi hamba yi n'wi nyika xinwelo	and he placed the cup in Pharaoh's hand
Kambe ndhuna ya vaphameri yona yi hayekiwa emurhini	But he hanged the chief baker
hilaha Yosefa a va hlamuseleke hakona	as Joseph had interpreted to them
Endzhaku ka yona	And behold
ku mila min'woko ya 7 ya koroni	after them sprouted seven ears
leyi nga chelangiki	thin and blighted by the east wind
Nimixo hosi Faro a a karhateka emoyeni	So in the morning his spirit was troubled
kutani a rhuma vanhu va ya vitana vangoma hinkwavo va tiko ra Egipta ni tintlhari ta rona hinkwato	and he sent and called for all the magicians of Egypt and all its wise men
Loko Faro a va rungulerile norho wa yena	Pharaoh told them his dreams
a ku vanga na un'we exikarhi ka vona loyi a koteke ku n'wi byela nhlamuselo ya kona	but there was none who could interpret them to Pharaoh
Kutani hi vumbirhi bya hina	we dreamed on the same night
hi lorha milorho vusiku byin'we	he and I
norho wun'wana ni wun'wana wu ri ni nhlamuselo ya wona	each having a dream with its own interpretation
A hi ri na jaha rin'wana ra Muheveru kwale	A young Hebrew was there with us
leri a ri ri nandza wa ndhuna ya varindzi	a servant of the captain of the guard
Kuteloko hi ri byerile milorho ya hina	When we told him
rona ri hi hlamuserile yona	he interpreted our dreams to us
ri byela un'wana ni un'wana wa hina nhlamuselo ya norho wa yena	giving an interpretation to each man according to his dream
Leswi ri hi hlamuseleke swona	And as he interpreted to us
swi humelerile hilaha ri vuleke hakona	so it came about
Mina ndzi tlhelerile entirhweni wa mina	I was restored to my office
kambe muphameri wa xinkwa yena ú hayekiwile	and the baker was hanged
Kutani Faro a rhuma vanhu va ya vitana Yosefa ekhotsweni	Then Pharaoh sent and called Joseph
va vuya na yena hi ku hatlisa	and they quickly brought him out of the pit
Kuteloko Yosefa a hetile ku byewula nhloko ni loko a ambarile swiambalo swin'wana	And when he had shaved himself and changed his clothes
a ya emahlweni ka Faro	he came in before Pharaoh
Kutani Faro a ku ka Yosefa	And Pharaoh said to Joseph
Ndzi lorhile norho	I have had a dream
kutani a ku na munhu loyi a kotaka ku ndzi hlamusela wona	and there is no one who can interpret it
ndzi twile leswaku wena wa swi kota ku hlamusela norho loko u byeriwe wona	I have heard it said of you that when you hear a dream you can interpret it
Kutani tihomu ta mantswele to ondza ta xiyimo xo biha ti dya tihomu leto sungula ta mantswele to nona ta 7	And the thin
Hiloko min'woko leya 7 leyi nga chelangiki yi mita leya 7 leyi vekeke swinene	and the thin ears swallowed up the seven good ears
Vangoma ndzi va tivisile milorho leyi	And I told it to the magicians
kambe a ku na loyi a koteke ku ndzi nyika nhlamuselo ya kona	but there was no one who could explain it to me
Tihomu ta mantswele ta 7 leto saseka i malembe ya 7	The seven good cows are seven years
ni min'woko ya 7 leyo saseka i malembe ya 7	and the seven good ears are seven years
milorho leyi yi vula xilo xin'we	the dreams are one
Tani hilaha ndzi ku byeleke hakona we hosi Faro	It is as I told Pharaoh
Xikwembu xi ku kombile leswi xi lavaka ku swi endla	God has shown to Pharaoh what he is about to do
Naswona hlawula vanhu u va veka ku va valanguteri etikweni va ta hamba va teka xiphemu xa ⅕ xa leswi Vaegipta va nga ta tshovela swona emalembeni lawa ya 7 ya ndzalo	Let Pharaoh proceed to appoint overseers over the land and take one-fifth of the produce of the land of Egypt during the seven plentiful years
Swakudya sweswo swi ta hlayiseriwa malembe ya 7 ya dyandza leri nga ta wela tiko ra Egipta	That food shall be a reserve for the land against the seven years of famine that are to occur in the land of Egypt
hikokwalaho tiko a ri nga fi hi ndlala	so that the land may not perish through the famine
Hosi Faro ni malandza ya yena hinkwawo	This proposal pleased Pharaoh and all his servants
kutani Faro a ku ka malandza ya yena	And Pharaoh said to his servants
Munhu wo fambisiwa hi Moya wa Xikwembu ku fana ni loyi	Can we find a man like this
hi nga n'wi kuma kwihi xana	in whom is the Spirit of God
Kutani Faro a ku ka Yosefa	Then Pharaoh said to Joseph
Xikwembu hi xona xi ku tiviseke timhaka leti hinkwato	Since God has shown you all this
hikokwalaho a ku na munhu wo twisisa ni ku tlhariha ku fana na wena	there is none so discerning and wise as you are
U ta va mulanguteri wa muti wa mina	You shall be over my house
kutani vanhu hinkwavo va tiko ra mina va ta yingisa swileriso swa wena	and all my people shall order themselves as you command
mina ndzi ta ku tlula ntsena hi ku va exiluvelweni xa vuhosi	Only as regards the throne will I be greater than you
Kutani hosi Faro a thya Yosefa evito ra Safanati-Paneyaka	And Pharaoh called Joseph's name Zaphenath-paneah
a n'wi nyika ni nsati	And he gave him in marriage Asenath
a nga Asnati N'wa-Potifera muprista wa muti wa Ono	the daughter of Potiphera priest of On
Kutani Yosefa a huma a famba a kambela tiko ra Egipta	So Joseph went out over the land of Egypt
Kutani Yosefa a thya n'wana lowa mativula evito ra Manase	Joseph called the name of the firstborn Manasseh
hikuva a a ku	For
Xikwembu xi endlile leswaku ndzi rivala maxangu ya mina hinkwawo	he said
ndzi nga ha tsundzuki ni le kaya	God has made me forget all my hardship and all my father's house
Malembe ya 7 ya ndzalo ma hela etikweni ra Egipta	The seven years of plenty that occurred in the land of Egypt came to an end
kambe loko ri sungula ku wela hi ndlala na rona	When all the land of Egypt was famished
Vaegipta va ya rila eka Faro	the people cried to Pharaoh for bread
va kombela swakudya	Pharaoh said to all the Egyptians
yena a va hlamula hinkwavo a ku	Go to Joseph
Yanani eka Yosefa	What he says to you
mi endla leswi a nga ta mi byela swona	do
Kuteloko Yakobo a twa leswaku koroni yi kona le Egipta	When Jacob learned that there was grain for sale in Egypt
a ku ka vana va yena	he said to his sons
Mi tshamela yini mi langutana hi mahlo xana	Why do you look at one another
A engeta a ku	And he said
Yingisani	Behold
ndzi twe leswaku koroni yi kona le Egipta	I have heard that there is grain for sale in Egypt
kutani n'wina rhelelani mi ya hi xavela	Go down and buy grain for us there
hi ta ka hi nga fi hi ndlala	that we may live and not die
Hi ndlela leyi	Thus the sons of Israel came to buy among the others who came
vana va Yakobo va longoloka ni van'wana va ya eku singileni hikwalaho ka ndlala leyi a yi ri kona etikweni ra Kanana	for the famine was in the land of Canaan
Hiloko Yosefa a tsundzuka milorho leyi a tshamaka a yi lorha hi tlhelo ra vona	And Joseph remembered the dreams that he had dreamed of them
kutani a ku ka vona	And he said to them
N'wina mi tinhlori	You are spies
mi tile ku ta valanga tiko ra hina mi vona laha ri pfulekeke kona	you have come to see the nakedness of the land
Vona va ku ka yena	They said to him
E-e	No
we n'wini wa hina	my lord
Hina malandza ya wena hi tile ku ta xava swakudya	your servants have come to buy food
Kutani mi vuya haleno ni ndzisana ya n'wina	and bring your youngest brother to me
Hi ndlela leyi	So your words will be verified
ntiyiso wa leswi mi swi vulaka wu ta tikomba	and you shall not die
kutani a mi nga dlawi! Hiloko va pfumela ku endla sweswo	And they did so
A va nga swi tivi leswaku Yosefa wa va twa	They did not know that Joseph understood them
hikuva loko a vulavula na vona a a tirhisa mutoloki	for there was an interpreter between them
Kutani Yosefa a lerisa leswaku minkwama ya vamakwavo yi cheriwa koroni yi tala	And Joseph gave orders to fill their bags with grain
ni leswaku mali ya un'wana ni un'wana yi tlherisiwa yi vekiwa esakeni ra yena	and to replace every man's money in his sack
ni leswaku va longeriwa timbuva	and to give them provisions for the journey
Kutani swi endlisiwa sweswo	This was done for them
Hiloko a ku ka vamakwavo	He said to his brothers
Mali ya mina yi tlherisiwile	My money has been put back
hi yaleyi kwala non'weni wa saka! Loko va twa sweswo	here it is in the mouth of my sack! At this their hearts failed them
va langutana va ri karhi va rhurhumela hi ku chava	and they turned trembling to one another
va ku	saying
I mhaka muni leyi Xikwembu xi nga hi endla yona xana	What is this that God has done to us
Loko va fika etikweni ra Kanana	When they came to Jacob their father in the land of Canaan
va rungulela Yakobo tata wa vona swilo hinkwaswo leswi swi va humeleleke	they told him all that had happened to them
va ku	saying
Wanuna loyi a nga murhangeri wa tiko ra Egipta	The man
a a vulavula na hina hi ku hi karihela	the lord of the land
a ku hi tinhlori etikweni ra yena	spoke roughly to us and took us to be spies of the land
Hinkwerhu ka hina a hi ri majaha ya 12	We are twelve brothers
vana va tatana un'we	sons of our father
makwerhu loyi un'wana a nga ha ri kona	One is no more
kasi lontsongo ú sele na tatana etikweni ra Kanana	and the youngest is this day with our father in the land of Canaan
’	'
Kuteloko koroni leyi va vuyeke na yona hi le Egipta yi herile	And when they had eaten the grain that they had brought from Egypt
Yakobo tata wa vona a ku ka vona	their father said to them
Mo tlhelela le Egipta	Go again
mi ya hi xavela swakudyanyana	buy us a little food
Kambe Yuda a ku ka yena	But Judah said to him
Wanuna luya ú hi tsundzuxile swinene	The man solemnly warned us
a ku	saying
‘Loko mo ka mi nga vuyi na makwenu	'You shall not see my face unless your brother is with you
mina mi nge ndzi voni!’	'
Loko wo pfumela leswaku hi famba na Benjamini	If you will send our brother with us
hi ta rhelela hi ya ku xavela swakudya	we will go down and buy you food
Loko a wo ka u nga hi hlwerisanga	If we had not delayed
