Eku sunguleni, Xikwembu xi tumbuluxile tilo ni misava.	In the beginning, God created the heavens and the earth.
u ta pambula ni xinkwa xin'we, ni ximbhundzwa xin'we lexi swekiweke hi mafurha, ni xinkwa xin'we xo oma exirhundzwini xa leswo-ke-comela leswi nga emahlweni ka HOSI Xikwembu.	and one loaf of bread and one cake of bread made with oil, and one wafer out of the basket of unleavened bread that is before the LORD.
Swilo leswi hinkwaswo, u ta swi khomisa Aroni ni vana va yena, u va byela ku ndzi widzela swona, yi va nyiko leyo hlawuleka ya mina HOSI Xikwembu.	You shall put all these on the palms of Aaron and on the palms of his sons, and wave them for a wave offering before the LORD.
Kutani u ta swi teka emavokweni ya vona, u swi katsa ni magandzelo lama hisiwaka, u swi hisa ehenhla ka alitari, yi va mhamba leyi hiseriwaka mina HOSI Xikwembu, leyi ku nun'hwela ka yona ku nga ta ndzi tsakisa.	Then you shall take them from their hands and burn them on the altar on top of the burnt offering, as a pleasing aroma before the LORD. It is a food offering to the LORD.
U ta teka xifuva xa khuna leri tlhaveriwaka ku vekiwa ka Aroni, u ndzi widzela xona, yi va nyiko leyo hlawuleka ya mina HOSI Xikwembu; hi yona nyama leyi u nga ta kuma yona eka xifuwo lexi.	You shall take the breast of the ram of Aaron's ordination and wave it for a wave offering before the LORD, and it shall be your portion.
Eka khuna leri tlhaveriwaka ku vekiwa ka vaprista, u ta hlawulekisa xifuva, xi va nyiko leyo hlawuleka, ni nenge wa kona lowu nyikiwaka vaprista; swi ta va swa Aroni ni vana va yena.	And you shall consecrate the breast of the wave offering that is waved and the thigh of the priests' portion that is contributed from the ram of ordination, from what was Aaron's and his sons'.
Aroni ni vana va yena va ta nyikiwa nyama leyi hi nawu lowu nga ta boha Vaisraele hilaha ku nga heriki, hikuva hi yona nyiko eka vaprista, leyi Vaisraele va nga ta yi pambula eka magandzelo ya vona ya xinakulobye; i mhamba ya vona leyi va yi humeselaka mina HOSI Xikwembu.	It shall be for Aaron and his sons as a perpetual due from the people of Israel, for it is a contribution. It shall be a contribution from the people of Israel from their peace offerings, their contribution to the LORD.
Swiambalo swa Aroni leswo hlawuleka swi ta sala swi va swa vana va yena loko a hundzile emisaveni; va ta ambala swona siku va vekiwaka ku va vaprista hi ku cheriwa mafurha enhlokweni.	The holy garments of Aaron shall be for his sons after him; they shall be anointed in them and ordained in them.
N'wana loyi a nga ta siva Aroni entirhweni wa vuprista, ú ta ambala swiambalo leswi masiku ya 7, loko a nghena eka Ntsonga lowo Hlawuleka ku ya tirha exivandleni xa wona lexo hlawuleka.	The son who succeeds him as priest, who comes into the tent of meeting to minister in the Holy Place, shall wear them seven days.
U ta teka nyama ya khuna leri tlhaveriwaka ku vekiwa ka vaprista, u yi swekela endhawini leyi hlawulekeke.	You shall take the ram of ordination and boil its flesh in a holy place.
Aroni ni vana va yena va ta dya nyama ya khuna leri ni xinkwa lexi nga xirhundzwini, va swi dyela enyangweni ya Ntsonga lowo Hlawuleka.	And Aaron and his sons shall eat the flesh of the ram and the bread that is in the basket in the entrance of the tent of meeting.
Va ta dya swilo leswi tirhisiweke ku humesa mhamba ya ku susa swidyoho, siku va vekiweke ni ku hlawulekisiwa. Kambe munhu wa le handle a nga tshuki a dya swilo leswi, hikuva swi hlawulekile.	They shall eat those things with which atonement was made at their ordination and consecration, but an outsider shall not eat of them, because they are holy.
Loko, siku leri tlhandlamaka nimpundzu, ka ha sale nyama ya siku ra ku vekiwa ka vaprista, kumbe xinkwa xa kona, u ta swi hisa; swi nga tshuki swi dyiwa, hikuva swi hlawulekile.	And if any of the flesh for the ordination or of the bread remain until the morning, then you shall burn the remainder with fire. It shall not be eaten, because it is holy.
U ta endlela Aroni ni vana va yena hinkwaswo leswi ndzi nga ku lerisa swona; ntirho wa ku va veka wu ta teka masiku ya 7.	Thus you shall do to Aaron and to his sons, according to all that I have commanded you. Through seven days shall you ordain them
Siku rin'wana ni rin'wana, u ta humesa magandzelo hi ku tlhava xinkuzana, xi va mhamba ya ku susa swidyoho. Na yona alitari u ta yi humesela emagandzelo, yi va mhamba ya ku yi basisa; u ta yi hlawulekisa hi ku yi tota mafurha.	and every day you shall offer a bull as a sin offering for atonement. Also you shall purify the altar, when you make atonement for it, and shall anoint it to consecrate it.
Hi masiku lawa ya 7, u ta humesela alitari emhamba ya ku yi basisa, u yi hlawulekisa; hikokwalaho yi ta va leyi hlawulekeke swinene, kutani xin'wana ni xin'wana lexi nga ta khumbana na alitari xi ta hundzuka lexi hlawulekeke.	Seven days you shall make atonement for the altar and consecrate it, and the altar shall be most holy. Whatever touches the altar shall become holy.
Siku rin'wana ni rin'wana hilaha ku nga heriki, mi ta humesa swinyimpfana swimbirhi swa makhuna swa lembe rin'we alitarini.	Now this is what you shall offer on the altar: two lambs a year old day by day regularly.
Mi ta humesa xinyimpfana xin'we nimixo, xin'wana namadyambu.	One lamb you shall offer in the morning, and the other lamb you shall offer at twilight.
Lexo sungula, mi ta xi humesa ni xintewana xin'we xa mapa lamanene ya koroni lama pfanganyisiweke ni xikhudza xin'we xa mafurha layo tenga ya mutlhwari, mi chela ni jomela rin'we ra vhinyo ya magandzelo.	And with the first lamb a tenth measure of fine flour mingled with a fourth of a hin of beaten oil, and a fourth of a hin of wine for a drink offering.
Xinyimpfana lexa vumbirhi xa namadyambu, mi ta xi humesa ni magandzelo ya mapa lama katsiweke ni vhinyo, ku fana ni swa nimixo; ma ta va magandzelo lama hiseriwaka mina HOSI Xikwembu, lawa ku nun'hwela ka wona ku nga ta ndzi tsakisa.	The other lamb you shall offer at twilight, and shall offer with it a grain offering and its drink offering, as in the morning, for a pleasing aroma, a food offering to the LORD.
Vatukulu va n'wina hinkwavo na vona va ta ya emahlweni va humesa magandzelo lama hisiwaka lawa, ma humeseriwa enyangweni ya Ntsonga lowo Hlawuleka, emahlweni ka mina HOSI. Kona kwalaho ndzi ta hlangana na n'wina, ndzi vulavula na n'wina.	It shall be a regular burnt offering throughout your generations at the entrance of the tent of meeting before the LORD, where I will meet with you, to speak to you there.
Ndzi ta hlangana ni Vaisraele endhawini yoleyo, kutani ku kwetsima ka mina ku ta yi hlawulekisa.	There I will meet with the people of Israel, and it shall be sanctified by my glory.
Ndzi ta hlawulekisa Ntsonga ni alitari ya kona; na yena Aroni ni vana va yena, ndzi ta va hlawulekisa leswaku va va vaprista, va ndzi tirhela.	I will consecrate the tent of meeting and the altar. Aaron also and his sons I will consecrate to serve me as priests.
Ndzi ta tshama exikarhi ka Vaisraele, kutani eka vona, ndzi ta va Xikwembu.	I will dwell among the people of Israel and will be their God.
Va ta tiva leswaku mina HOSI, ndzi Xikwembu xa vona lexi xi va humeseke etikweni ra Egipta, leswaku ndzi ta tshama exikarhi ka vona. Hi mina HOSI, Xikwembu xa vona.	And they shall know that I am the LORD their God, who brought them out of the land of Egypt that I might dwell among them. I am the LORD their God.
Mi ta endla alitari yo hisela kona mirhi ya risuna mi yi endla hi mapulangi ya murhi wa munga.	You shall make an altar on which to burn incense; you shall make it of acacia wood.
Ehenhla ni le hansi ka yona, ku ta ringanana: 50 cm ku leha ni 50 cm ku anama, ni 100 cm ku ya ehenhla; timhondzo ta yona ti ta khomana na yona.	A cubit shall be its length, and a cubit its breadth. It shall be square, and two cubits shall be its height. Its horns shall be of one piece with it.
Mi ta yi nameka nsuku lowo tenga, ehenhla ni le matlhelo hinkwawo, mi nameka ni timhondzo ta yona, mi endla ni nkonye wa nsuku ku rhendzeleka na yona.	You shall overlay it with pure gold, its top and around its sides and its horns. And you shall make a molding of gold around it.
Mi ta yi endlela ni swingwavila swimbirhi hi nsuku, mi swi vekela ehansi ka nkonye hi matlhelo mambirhi ya yona; eka swona ku ta tlhomiwa timhandze to rhwala alitari ha tona.	And you shall make two golden rings for it. Under its molding on two opposite sides of it you shall make them, and they shall be holders for poles with which to carry it.
Timhandze ta kona mi ta ti vatla hi murhi wa munga, mi ti nameka nsuku.	You shall make the poles of acacia wood and overlay them with gold.
Mi ta veka alitari emahlweni ka xisirhelelo lexi sivaka Areka ya Ntwanano, laha ndzi nga ta hlangana na n'wina kona.	And you shall put it in front of the veil that is above the ark of the testimony, in front of the mercy seat that is above the testimony, where I will meet with you.
Kutani Aroni ú ta hisa swinun'hweriso ehenhla ka yona mpundzu wun'wana ni wun'wana; ú ta swi hisa enkarhini lowu a lunghisaka timboni ha wona.	And Aaron shall burn fragrant incense on it. Every morning when he dresses the lamps he shall burn it
Ú ta tlhela a hisa swinun'hweriso leswi namadyambu, enkarhini lowu a lumekaka timboni ha wona; vatukulu va n'wina hinkwavo na vona va ta humesa magandzelo lawa ya mirhi ya risuna emahlweni ka mina HOSI, hilaha ku nga heriki.	and when Aaron sets up the lamps at twilight, he shall burn it, a regular incense offering before the LORD throughout your generations.
Ehenhla ka alitari leyi, mi nga tshuki mi hisa mirhi ya risuna leyi mi nga lerisiwangiki yona, mi nga humeseli kona magandzelo ya nyama ni ya mapa, naswona mi nga cheli swakunwa swa magandzelo ehenhla ka yona.	You shall not offer unauthorized incense on it, or a burnt offering, or a grain offering, and you shall not pour a drink offering on it.
Kan'we hi lembe, Aroni ú ta basisa alitari hi ku teka ngatinyana ya xifuwo lexi tlhaveriweke mhamba yo susa swidyoho, a tota timhondzo ta alitari; alitari yi ta basisiwa hi ndlela leyi kan'we hi lembe, ni le ka vatukulu va n'wina hinkwavo. Alitari leyi yi ta va yi hlawulekile ngopfu eka mina HOSI.	Aaron shall make atonement on its horns once a year. With the blood of the sin offering of atonement he shall make atonement for it once in the year throughout your generations. It is most holy to the LORD.
Kutani HOSI Xikwembu xi ku ka Muxe	The LORD said to Moses
Loko ku hlayiwa ntsengo wa Vaisraele lava taka eku tsariseni, un'wana ni un'wana wa vona ú ta humesa nhlengo wa ku kutsula vutomi bya yena, a humesela mina HOSI Xikwembu, siku vanhu va hlayiwaka, leswaku va nga tshuki va wela hi ntungu, loko va ri karhi va hlayiwa.	When you take the census of the people of Israel, then each shall give a ransom for his life to the LORD when you number them, that there be no plague among them when you number them.
Un'wana ni un'wana la hundzaka eku hlayiweni, ú ta humesa nhlengo wa silivhere ya 6 g, yi nga hafu ya ntiko wo pima ha wona, lowu hlayisiwaka exivandleni lexo hlawuleka; nhlengo lowu wu ta va wa mina HOSI	Each one who is numbered in the census shall give this: half a shekel according to the shekel of the sanctuary (the shekel is twenty gerahs), half a shekel as an offering to the LORD.
wu humesiwa hi munhu un'wana ni un'wana wa malembe ya 20 ni ku ya ehenhla la taka eku hlayiweni.	Everyone who is numbered in the census, from twenty years old and upward, shall give the LORD's offering.
Mufumi a nga ka a nga humesi ku tlula silivhere ya 6 g, ni xisiwana a xi nga humesi ehansi ka silivhere yo ringana na yoleyo, loko mi ri karhi mi humesa nhlengo wa mina wo kutsula vutomi bya n'wina ha wona.	The rich shall not give more, and the poor shall not give less, than the half shekel, when you give the LORD's offering to make atonement for your lives.
Mi ta amukela nhlengo wa kona eka Vaisraele, kutani mi wu tirhisa ku fambisa mintirho ya Ntsonga lowo Hlawuleka; nhlengo lowu wa ku kutsula vutomi bya n'wina, wu ta endla leswaku mina HOSI ndzi tsundzuka Vaisraele.	You shall take the atonement money from the people of Israel and shall give it for the service of the tent of meeting, that it may bring the people of Israel to remembrance before the LORD, so as to make atonement for your lives.
Kutani HOSI Xikwembu xi ku ka Muxe	The LORD said to Moses
U ta vumba sambelo hi koporo, ni xikhatelo xa rona, u swi vumba hi koporo. U ta veka xibya lexi exikarhi ka Ntsonga lowo Hlawuleka ni alitari, u chela mati eka xona.	You shall also make a basin of bronze, with its stand of bronze, for washing. You shall put it between the tent of meeting and the altar, and you shall put water in it
Mati lawa, Aroni ni vana va yena va ta hlamba mavoko ni milenge ha wona.	with which Aaron and his sons shall wash their hands and their feet.
Loko va nghena eka Ntsonga lowo Hlawuleka, kumbe loko va tshinela kusuhi ni alitari ku ya tirha kona, ni ku ndzi hisela magandzelo mina HOSI Xikwembu, va ta rhanga hi ku hlamba hi mati lawa, leswaku va nga tshuki va fa.	When they go into the tent of meeting, or when they come near the altar to minister, to burn a food offering to the LORD, they shall wash with water, so that they may not die.
Va ta hlamba mavoko ni milenge, hikuva loko va nga endlisi sweswo, va ta fa. Lowu i nawu lowu nga ta ka wu nga hundzuki, eka Aroni ni vana va yena, wu ta boha hambi va ri vatukulu va yena, hilaha ku nga heriki.	They shall wash their hands and their feet, so that they may not die. It shall be a statute forever to them, even to him and to his offspring throughout their generations.
Kutani HOSI Xikwembu xi tlhela xi ku ka Muxe	The LORD said to Moses
Teka mirhi leyo saseka swinene yo nun'hwerisa ha yona: Mafi ya murhi wa ‘mirha’ ya 6 kg, ni murhi lowo nun'hwela wa ‘sinamoni’ wa 3 kg, ni mafi ya tinhlanga ya 3 kg	Take the finest spices: of liquid myrrh 500 shekels, and of sweet-smelling cinnamon half as much, that is, 250, and 250 of aromatic cane
ni murhi wa ‘kasiya’ wa 6 kg, hi ku ya hi ntiko wo pima ha wona lowu hlayisiwaka exivandleni lexo hlawuleka, ni tinghotsa timbirhi ta mafurha ya murhi wa mutlhwari.	and 500 of cassia, according to the shekel of the sanctuary, and a hin of olive oil.
Kutani mi ta pfanganyisa swilo leswi, hi mukhuva lowu muendli wa mirhi leyo nun'hwerisa a pfanganyisaka ha wona, mi endla mafurha layo hlawuleka yo tola; ma ta va mafurha yo tola lama hlawulekeke.	And you shall make of these a sacred anointing oil blended as by the perfumer; it shall be a holy anointing oil.
Mi ta teka mafurha lawa, mi tota Ntsonga lowo Hlawuleka, ni Areka ya Ntwanano	With it you shall anoint the tent of meeting and the ark of the testimony
mi ta tota tafula ni swibya swa rona hinkwaswo, mi tota xitlhoma-timboni ni swingolongondzwana swa xona, mi tota ni alitari ya mirhi ya risuna	and the table and all its utensils, and the lampstand and its utensils, and the altar of incense
mi tota alitari ya magandzelo lama hisiwaka ni swingolongondzwana swa yona hinkwaswo, ni sambelo, ni xikhatelo xa rona	and the altar of burnt offering with all its utensils and the basin and its stand.
mi ta swi basisa leswaku swi va leswi hlawulekeke swinene; xin'wana ni xin'wana lexi nga ta khumbana ni swilo leswi, xi ta va lexi hlawulekeke.	You shall consecrate them, that they may be most holy. Whatever touches them will become holy.
Aroni ni vana va yena, na vona mi ta va chela mafurha lawa, mi va hlawulekisa leswaku va va vaprista, va ndzi tirhela.	You shall anoint Aaron and his sons, and consecrate them, that they may serve me as priests.
Kutani mi ta byela Vaisraele leswaku mina HOSI ndzi ri: ‘Lawa ma ta va mafurha yo tola lama hlawulekeke, lawa mi nga ta ndzi tirhela ha wona, n'wina ni vatukulu va n'wina hilaha ku nga heriki.	And you shall say to the people of Israel, 'This shall be my holy anointing oil throughout your generations.
Munhu ntsena, a nga tshuki a totiwa mafurha lawa, naswona mi nga tshuki mi endla mafurha man'wana, hi ku chela mimpimo leyi fanaka ni leyi tirhisiweke ku endla mafurha lawa; wona ma hlawulekile, kutani mi fanele ku ma tirhisa hi ndlela yo hlawuleka.	It shall not be poured on the body of an ordinary person, and you shall make no other like it in composition. It is holy, and it shall be holy to you.
Un'wana ni un'wana loyi a nga ta endla mafurha yo fana ni lawa, kumbe loyi a nga ta teka man'wana ya wona a tota munhu wa le handle, ú ta hlongoriwa, a suka erixakeni ra ka vona.’ 	Whoever compounds any like it or whoever puts any of it on an outsider shall be cut off from his people.'
Kutani HOSI Xikwembu xi ku ka Muxe: Lava swinun'hweriso leswi: Murhi wa ‘sitakita’, ni wa ‘onika’, ni wa ‘galibanumi’, ni swinun'hweriso leswi cheriwaka eka murhi wa risuna lowo tenga, mirhi leyi hinkwayo yi va ya mpimo wun'we lowu ringanaka.	The LORD said to Moses, Take sweet spices, stacte, and onycha, and galbanum, sweet spices with pure frankincense (of each shall there be an equal part)
Mi ta hlanganisa swinun'hweriso leswi, mi endla murhi wa risuna, hi mukhuva lowu muendli wa mirhi leyo nun'hwerisa a pfanganyisaka ha wona; murhi wa kona mi wu chela munyu, wu tenga, wu va lowu hlawulekeke.	and make an incense blended as by the perfumer, seasoned with salt, pure and holy.
Xiphemu xin'wana xa wona, mi ta xi sila xi endla mapa, kutani mi teka mapanyana ya kona mi ma nyunyetela emahlweni ka Areka ya Ntwanano, endzeni ka Ntsonga lowo Hlawuleka, laha ndzi nga ta hlangana na n'wina kona. Murhi lowu wu ta va wu hlawulekile swinene eka n'wina.	You shall beat some of it very small, and put part of it before the testimony in the tent of meeting where I shall meet with you. It shall be most holy for you.
Murhi wa risuna lowu mi nga ta wu endla hi ku tirhisa mimpimo leyi ya swinun'hweriso, mi nga wu endleli ku wu tirhisa n'wina; eka n'wina wu ta va murhi lowu hlawuleriweke HOSI Xikwembu.	And the incense that you shall make according to its composition, you shall not make for yourselves. It shall be for you holy to the LORD.
Un'wana ni un'wana loyi a nga ta endla murhi wo fana ni lowu, a lava ku tinun'hwerisa hi risuna ra wona, ú ta hlongoriwa, a susiwa erixakeni ra ka vona.	Whoever makes any like it to use as perfume shall be cut off from his people.
Kutani HOSI Xikwembu xi ku ka Muxe	The LORD said to Moses
Vona, ndzi hlawurile Besalele n'wana Uri wa Huru, wa nyimba ya Yuda	See, I have called by name Bezalel the son of Uri, son of Hur, of the tribe of Judah
ndzi n'wi chela Moya wa mina, ndzi n'wi nyika vutlhari, ni ku twisisa, ni vutivi, ni ku kota mintirho ya tinxaka-xaka	and I have filled him with the Spirit of God, with ability and intelligence, with knowledge and all craftsmanship
hikokwalaho, ú ta kota ku sasekisa swilo, ni ku tirhisa nsuku, ni silivhere, ni koporo	to devise artistic designs, to work in gold, silver, and bronze
ú ta kota ni ku vatla maribye, a ma vekela eka swikhomiso, a kevetla-kevetla mapulangi, a tirha mintirho ya tinxaka-xaka.	in cutting stones for setting, and in carving wood, to work in every craft.
Ndzi hlawurile na Oholiyabu n'wana Ahisamaki, wa nyimba ya Dani, leswaku a ta tirha swin'we na Besalele ni vavanuna hinkwavo lava nga ni vutivi bya ntirho; ndzi va nyikile vutlhari byo endla hinkwaswo leswi ndzi ku leriseke swona	And behold, I have appointed with him Oholiab, the son of Ahisamach, of the tribe of Dan. And I have given to all able men ability, that they may make all that I have commanded you
Ntsonga lowo Hlawuleka, ni Areka ya Ntwanano, ni xitshamu xa ndzivalelo lexi nga henhla ka yona, ni swingolongondzwana hinkwaswo swa Ntsonga	the tent of meeting, and the ark of the testimony, and the mercy seat that is on it, and all the furnishings of the tent
ni tafula ni swibya swa rona, ni xitlhoma-timboni xa nsuku lowo tenga ni swingolongondzwana swa xona hinkwaswo, ni alitari ya mirhi ya risuna	the table and its utensils, and the pure lampstand with all its utensils, and the altar of incense
ni alitari ya magandzelo lama hisiwaka ni swingolongondzwana swa yona hinkwaswo, ni sambelo ni xikhatelo xa rona	and the altar of burnt offering with all its utensils, and the basin and its stand
ni swiambalo leswi sasekisiweke, swi nga swiambalo leswo hlawuleka swa muprista Aroni, ni leswi nga ta ambariwa hi vana va yena loko va tirha ntirho wa vuprista	and the finely worked garments, the holy garments for Aaron the priest and the garments of his sons, for their service as priests
ni mafurha yo tola, ni swinun'hweriso swa le xivandleni lexo hlawuleka. Va ta endla swilo leswi hinkwaswo hilaha ndzi ku leriseke hakona.	and the anointing oil and the fragrant incense for the Holy Place. According to all that I have commanded you, they shall do.
Kutani HOSI Xikwembu xi ku ka Muxe	And the LORD said to Moses
Byela Vaisraele leswaku ndzi ri: ‘Tsundzukani ngopfu-ngopfu ku hlayisa masiku lawa ndzi ma vekeke ya Savata, hikuva siku ra ku wisa i xikombiso xa ku twanana ka mina na n'wina, ni le ka vatukulu va n'wina hinkwavo swi va tano, mi ta tiva leswaku loyi a mi hlawulekisaka, hi mina HOSI.	You are to speak to the people of Israel and say, 'Above all you shall keep my Sabbaths, for this is a sign between me and you throughout your generations, that you may know that I, the LORD, sanctify you.
Mi ta hlayisa siku ra ku wisa, hikuva i siku leri eka n'wina ri nga ta va ri hlawulekile. Un'wana ni un'wana loyi a tlulaka nawu wa siku leri, ú ta dlayiwa. Loyi a tshukaka a tirha ntirho wun'wana hi siku leri, ú ta susiwa erixakeni ra ka vona.	You shall keep the Sabbath, because it is holy for you. Everyone who profanes it shall be put to death. Whoever does any work on it, that soul shall be cut off from among his people.
Ku ta tirhiwa hi masiku ya 6, kambe siku ra vu-7 i siku ra ku wisa ra Savata, leri hlawuleriweke HOSI Xikwembu; un'wana ni un'wana loyi a nga ta tirha hi siku leri ra Savata, ú ta dlayiwa.	Six days shall work be done, but the seventh day is a Sabbath of solemn rest, holy to the LORD. Whoever does any work on the Sabbath day shall be put to death.
Hikokwalaho Vaisraele va fanele ku hlayisa siku ra ku wisa ra Savata, va ri xixima, wu va ntwanano lowu bohaka ni le ka vatukulu va vona hilaha ku nga heriki.	Therefore the people of Israel shall keep the Sabbath, observing the Sabbath throughout their generations, as a covenant forever.
Lexi xi ta va xikombiso xa ku twanana ka mina ni Vaisraele hilaha ku nga heriki; hikuva hi masiku ya 6 mina HOSI ndzi tumbuluxile tilo ni misava, kutani ndzi tshika ku tirha hi siku ra vu-7, ndzi wisa.’ 	It is a sign forever between me and the people of Israel that in six days the LORD made heaven and earth, and on the seventh day he rested and was refreshed.'
Loko Xikwembu xi heta ku vulavula na Muxe entshaveni ya Sinayi, xi n'wi nyika maribye lawa mambirhi ya Ntwanano, ma nga maribye ya swiphepherhele lawa Xikwembu xi tsaleke milawu eka wona hi ritiho ra xona.	And he gave to Moses, when he had finished speaking with him on Mount Sinai, the two tablets of the testimony, tablets of stone, written with the finger of God.
Loko Vaisraele va vona leswaku Muxe wa hlwela ku rhelela a vuya hi le ntshaveni, va vitanana va ya hlengeletana eka Aroni, va ku ka yena: Hatlisa u hi endlela xikwembu lexi nga ta hi rhangela emahlweni, hikuva a hi tivi leswaku Muxe wa kona loyi a nga hi susa etikweni ra Egipta, ú helele kwihi.	When the people saw that Moses delayed to come down from the mountain, the people gathered themselves together to Aaron and said to him, Up, make us gods who shall go before us. As for this Moses, the man who brought us up out of the land of Egypt, we do not know what has become of him.
Kutani Aroni a ku ka vona: Anyulani swingwavila swa nsuku leswi nga tindleveni ta vasati va n'wina, ni ta vana va n'wina va xinuna ni va xisati, mi ndzi tisela swona.	So Aaron said to them, Take off the rings of gold that are in the ears of your wives, your sons, and your daughters, and bring them to me.
Kavaloko vanhu hinkwavo va anyuletela swingwavila swa nsuku leswi a swi ri tindleveni ta vona, va swi yisa eka Aroni.	So all the people took off the rings of gold that were in their ears and brought them to Aaron.
Kutani Aroni a amukela nsuku eka vona, a wu n'okisa exibyeni xo n'okisela eka xona, a vumba xifaniso xa rhole; hiloko vanhu va ku: N'wina Vaisraele, hi lexi Xikwembu xa n'wina, lexi xi mi humeseke etikweni ra Egipta!	And he received the gold from their hand and fashioned it with a graving tool and made a golden calf. And they said, These are your gods, O Israel, who brought you up out of the land of Egypt!
Loko Aroni a vona leswi humelelaka, a aka alitari emahlweni ka rhole, kutani a tivisa vanhu, a ku: Mundzuku ku ta va ni nkhuvo wa ku tlangela HOSI Xikwembu.	When Aaron saw this, he built an altar before it. And Aaron made a proclamation and said, Tomorrow shall be a feast to the LORD.
Hi siku leri tlhandlamaka, va pfuka wa ha ri mpundzu, va humesa magandzelo lama hisiwaka ni ya xinakulobye; kutani vanhu va tshama ehansi, va dya ni ku nwa, va sungula ku endla swilo swo ka swi nga tivikani.	And they rose up early the next day and offered burnt offerings and brought peace offerings. And the people sat down to eat and drink and rose up to play.
Kutani HOSI Xikwembu xi ku ka Muxe: Hatlisa u rhelela, hikuva vanhu va wena lava u va humeseke etikweni ra Egipta va tinyamisile, va ndzi dyohela.	And the LORD said to Moses, Go down, for your people, whom you brought up out of the land of Egypt, have corrupted themselves.
Va hambukile hi ku hatlisa endleleni leyi ndzi nga va lerisa yona; va tivumberile xifaniso xa rhole, va xi nkhinsamela ni ku xi humesela magandzelo, va ku: ‘N'wina Vaisraele, hi lexi Xikwembu xa n'wina lexi xi mi humeseke etikweni ra Egipta.’ 	They have turned aside quickly out of the way that I commanded them. They have made for themselves a golden calf and have worshiped it and sacrificed to it and said, 'These are your gods, O Israel, who brought you up out of the land of Egypt!'
HOSI Xikwembu xi engeta xi ku ka Muxe: Vanhu lava ndzi va vonile leswaku va tinonon'hwisa	And the LORD said to Moses, I have seen this people, and behold, it is a stiff-necked people.
sweswi, ndzi tshike ndzi pfurhisa vukari bya mina ehenhla ka vona, ndzi va herisa; kambe wena, ndzi ta ku endla tiko lerikulu.	Now therefore let me alone, that my wrath may burn hot against them and I may consume them, in order that I may make a great nation of you.
Kambe Muxe a kombela HOSI Xikwembu hi matimba, a ku: We HOSI, hikwalaho ka yini vukari bya wena byi pfurhela vanhu va wena lava u va humeseke etikweni ra Egipta hi matimba lamakulu ni voko leri tiyeke, xana?	But Moses implored the LORD his God and said, O LORD, why does your wrath burn hot against your people, whom you have brought out of the land of Egypt with great power and with a mighty hand?
Xana Vaegipta a va nga vuli va ku: ‘Xikwembu xi humesile Vaisraele xi ri ni makungu yo biha ya ku ya va lovisela etintshaveni, xi va herisela makumu emisaveni’ xana? Tshika vukari bya wena lebyo chavisa, u tlhela emakungwini ya wena yo endla swo biha eka vanhu va wena.	Why should the Egyptians say, 'With evil intent did he bring them out, to kill them in the mountains and to consume them from the face of the earth'? Turn from your burning anger and relent from this disaster against your people.
Tsundzuka malandza ya wena Abrahama, na Isaka, na Yakobo lava wena hi xiviri xa wena u va tshembiseke hi ku hlambanya, u ku: ‘Ndzi ta andzisa vatukulu va n'wina va tala ku fana ni tinyeleti, na rona tiko hinkwaro leri ndzi ri tshembiseke ndzi ta ri nyika vatukulu va n'wina, ri va ndzhaka ya vona hilaha ku nga heriki.’ 	Remember Abraham, Isaac, and Israel, your servants, to whom you swore by your own self, and said to them, 'I will multiply your offspring as the stars of heaven, and all this land that I have promised I will give to your offspring, and they shall inherit it forever.'
Hiloko HOSI Xikwembu xi tlhela emakungwini lawa a xi ma vurile, ya ku endla leswo biha eka vanhu va xona.	And the LORD relented from the disaster that he had spoken of bringing on his people.
Kavaloko Muxe a suka entshaveni a rhelela, a khomile maribye mambirhi ya Ntwanano, ma nga maribye ya swiphepherhele lawa a ma tsariwile matlhelo hinkwawo, hala ni hala.	Then Moses turned and went down from the mountain with the two tablets of the testimony in his hand, tablets that were written on both sides; on the front and on the back they were written.
Maribye lawa, a ma endliwile hi HOSI Xikwembu, ni leswi a swi tsariwile ehenhla ka wona hi ku kevetla, a swi tsariwile hi xona.	The tablets were the work of God, and the writing was the writing of God, engraved on the tablets.
Loko Yoxuwa a twa huwa ya vanhu lava a va ri karhi va hokoloka, a ku ka Muxe: Ku ni huwa ya nyimpi emixaxeni.	When Joshua heard the noise of the people as they shouted, he said to Moses, There is a noise of war in the camp.
Kambe Muxe a hlamula a ku: Leswi mina ndzi twaka swona a hi mpfumawulo wa ku giya ka vahluri, naswona a hi huwa ya mikhosi ya lava hluriweke, kambe i mpfumawulo wa ku yimbelela.	But he said, It is not the sound of shouting for victory, or the sound of the cry of defeat, but the sound of singing that I hear.
Kan'we-kan'we loko Muxe a fika kusuhi ni mixaxa, a vona xifaniso xa rhole ni ku cina ka vanhu, kutani a pfurha hi vukari, a cukumeta maribye lawa a a ma khomile, ma fayekela kwala hansi ka ntshava.	And as soon as he came near the camp and saw the calf and the dancing, Moses' anger burned hot, and he threw the tablets out of his hands and broke them at the foot of the mountain.
Kutani Muxe a teka xifaniso xa rhole lexi a va xi vumbile, a xi hisa, a xi sila xi hundzuka mapa, a haxa mapa lawa ehenhla ka mati, a nwisa Vaisraele.	He took the calf that they had made and burned it with fire and ground it to powder and scattered it on the water and made the people of Israel drink it.
